Sample AUC
BDBV_B45 169.83908069390452
BDBV_B46 177.50942609390546
BDBV_B47 261.1754519058874
BDBV_B48 305.05516201102944
BDBV_B49 290.9100758924056
BDBV_B50 288.0170591797823
BDBV_B51 187.4697537233216
BDBV_B52 168.67080932212878
BDBV_B53 154.4315358409768
BDBV_B54 197.34550291909954
BDBV_B55 197.05283065982087
BDBV_B56 148.52979479032473
BDBV_B57 236.9968503573014
BDBV_B58 351.993578996363
BDBV_B59 144.95987133218125
BDBV_B6 70.56752155068423
BDBV_B60 172.18883102920103
BDBV_B61 137.32792797671777
BDBV_B62 252.41235077286774
BDBV_B63 194.9850185831627
BDBV_B64 377.14511117072306
BDBV_B65 101.00456786970574
BDBV_B66 144.92803897092602
BDBV_B67 185.98471378884128
BDBV_B68 261.0036715131911
BDBV_B69 264.5712997625518
BDBV_B7 10.387333971349952
BDBV_B70 151.18259489443923
BDBV_B71 142.25207875514644
BDBV_B72 351.5595773288038
BDBV_B73 227.4850789408156
BDBV_B74 107.13915845527904
BDBV_B75 197.27073229776917
BDBV_B76 144.30818963267623
BDBV_B77 154.53723872315635
BDBV_B78 189.76071289951048
BDBV_B79 136.19881346090688
BDBV_B8 119.81751092647124
BDBV_B80 144.32862873674225
BDBV_B81 145.87559856889706
BDBV_B82 156.44490467830582
BDBV_B83 221.06243384234722
BDBV_B84 210.00434004301624
BDBV_B85 167.07754157467372
BDBV_B86 91.31936802536603
BDBV_B87 173.47123440641494
BDBV_B9 163.4866057205248
BDBV_DC52 290.7326111879778
EBOV_B1 380.7907014774047
EBOV_B10 158.50008324864055
EBOV_B11 146.75052131363532
EBOV_B12 224.11730118826543
EBOV_B14 251.408254493009
EBOV_B15 219.97180469427457
EBOV_B16 279.5958510456814
EBOV_B18 274.4225868377396
EBOV_B2 221.13014897152948
EBOV_B20 167.40199261303587
EBOV_B21 197.54297278815721
EBOV_B22 249.67447293173493
EBOV_B23 237.09243847553535
EBOV_B24 275.4576386845073
EBOV_B26 331.0888344244428
EBOV_B27 43.568849830289125
EBOV_B28 274.8485756200578
EBOV_B29 160.9610622829403
EBOV_B3 107.9857307599738
EBOV_B30 163.81238008830636
EBOV_B31 175.14535653573412
EBOV_B32 91.86857417837508
EBOV_B33 138.06986980719944
EBOV_B34 304.75498084240076
EBOV_B35 97.52382566534116
EBOV_B36 271.5069742016389
EBOV_B37 157.802126508033
EBOV_B38 52.4288730533205
EBOV_B39 239.1674060361413
EBOV_B4 179.48049069870615
EBOV_B40 281.02462102892355
EBOV_B41 209.75704271865737
EBOV_B42 76.97427026231361
EBOV_B43 225.5743116969014
EBOV_B44 128.35285988351933
EBOV_B45 91.07435906320661
EBOV_B46 226.15279015692147
EBOV_B47 300.10736704264275
EBOV_B48 301.5068637482594
EBOV_B49 283.02142440975734
EBOV_B50 281.55263657643206
EBOV_B51 132.6190714338458
EBOV_B52 150.7770969330877
EBOV_B53 189.04496677358577
EBOV_B54 233.88808884889673
EBOV_B55 249.90290027823363
EBOV_B56 246.50680991600996
EBOV_B57 253.8111380077012
EBOV_B58 343.53713786374
EBOV_B59 221.913195472734
EBOV_B6 103.59729604804545
EBOV_B60 233.17721992189772
EBOV_B61 204.91259628700897
EBOV_B62 311.293353360908
EBOV_B63 253.6366339456773
EBOV_B64 379.4981464722981
EBOV_B65 117.79745471833775
EBOV_B66 183.14672534290963
EBOV_B67 202.78721602634744
EBOV_B68 266.4436180593765
EBOV_B69 267.2238136359725
EBOV_B7 37.4292084559682
